Hex Rotary Switch Code:


CodePins
	1	2	4	8
0				
1	1				
2		1		
3	1	1		
4			1	
5	1		1	
6		1	1	
7	1	1	1	
8				1
9	1			1
A		1		1
B	1	1		1
C			1	1
D	1		1	1
E		1	1	1
F	1	1	1	1

CodePins
	1	2	4	8
0				
1	0				
2		0		
3	0	0		
4			0	
5	0		0	
6		0	0	
7	0	0	0	
8				0
9	0			0
A		0		0
B	0	0		0
C			0	0
D	0		0	0
E		0	0	0
F	0	0	0	0
